"id";"word";"transcriptionUs";"transcriptionUk";"soundUsPath";"soundUkPath";"translates"
"66";"balance";"|ˈbæləns|";"|ˈbæl(ə)ns|";"./sound/us/balance.mp3";"./sound/uk/balance.mp3";"баланс, равновесие, остаток, сбалансировать, балансовый"
"67";"ball";"|bɔːl|";"|bɔːl|";"./sound/us/ball.mp3";"./sound/uk/ball.mp3";"мяч, шар, бал, шарик, удар, шаровой, свивать, свиваться"
"68";"bank";"|bæŋk|";"|bæŋk|";"./sound/us/bank.mp3";"./sound/uk/bank.mp3";"банк, банка, берег, крен, вал, банковский, банковый, накреняться, запруживать"
"69";"bar";"|bɑːr|";"|bɑː|";"./sound/us/bar.mp3";"./sound/uk/bar.mp3";"бар, полоса, стержень, запрещать, запирать, брусковый, исключая, не считая"
"70";"bath";"|bæθ|";"|bɑːθ|";"./sound/us/bath.mp3";"./sound/uk/bath.mp3";"ванна, баня, купание, купальня, купать, мыть"
"71";"bathroom";"|ˈbæθruːm|";"|ˈbɑːθruːm|";"./sound/us/bathroom.mp3";"./sound/uk/bathroom.mp3";"ванная комната, ванная, туалет"
"72";"be";"|biː|";"|bɪ|";"./sound/us/be.mp3";"./sound/uk/be.mp3";"быть, находиться, должен, тратта"
"73";"beach";"|biːtʃ|";"|biːtʃ|";"./sound/us/beach.mp3";"./sound/uk/beach.mp3";"пляж, взморье, берег моря, отмель, вытаскивать на берег, сажать на мель"
"74";"bean";"|biːn|";"|biːn|";"./sound/us/bean.mp3";"./sound/uk/bean.mp3";"боб, фасоль, башка, голова, фасолевый, дать по башке"
"75";"beautiful";"|ˈbjuːtɪfl|";"|ˈbjuːtɪfʊl|";"./sound/us/beautiful.mp3";"./sound/uk/beautiful.mp3";"красивый, прекрасный, превосходный, прекрасное, красотка, красивые люди"
"76";"because";"|bɪˈkɔːz|";"|bɪˈkəz|";"./sound/us/because.mp3";"./sound/uk/because.mp3";"потому что, так как, ибо"
"77";"bed";"|bed|";"|bed|";"./sound/us/bed.mp3";"./sound/uk/bed.mp3";"спать, ложиться в постель, кровать, постель, слой, ложе, постельный"
"78";"beer";"|bɪr|";"|bɪə|";"./sound/us/beer.mp3";"./sound/uk/beer.mp3";"пиво, ход основы"
"79";"before";"|bɪˈfɔːr|";"|bɪˈfɔː|";"./sound/us/before.mp3";"./sound/uk/before.mp3";"перед, до, выше, впереди, до, прежде чем, прежде чем, раньше, выше"
"80";"begin";"|bɪˈɡɪn|";"|bɪˈɡɪn|";"./sound/us/begin.mp3";"./sound/uk/begin.mp3";"начинать, начинаться, завязать, наставать"
"81";"beginning";"|bɪˈɡɪnɪŋ|";"|bɪˈɡɪnɪŋ|";"./sound/us/beginning.mp3";"./sound/uk/beginning.mp3";"начало, возникновение, истоки, начинающий"
"82";"below";"|bɪˈləʊ|";"|bɪˈləʊ|";"./sound/us/below.mp3";"./sound/uk/below.mp3";"ниже, внизу, в дальнейшем, ниже, под"
"83";"belt";"|belt|";"|belt|";"./sound/us/belt.mp3";"./sound/uk/belt.mp3";"пояс, ремень, приводной ремень, зона, подпоясывать, гнать, опоясывать"
"84";"best";"|best|";"|best|";"./sound/us/best.mp3";"./sound/uk/best.mp3";"лучший, больший, лучше всего, больше всего, провести, перехитрить"
"85";"between";"|bɪˈtwiːn|";"|bɪˈtwiːn|";"./sound/us/between.mp3";"./sound/uk/between.mp3";"между, между"
"86";"big";"|bɪɡ|";"|bɪɡ|";"./sound/us/big.mp3";"./sound/uk/big.mp3";"большой, крупный, важный, значительный, хвастливо, с важным видом"
"87";"bike";"|baɪk|";"|baɪk|";"./sound/us/bike.mp3";"./sound/uk/bike.mp3";"велосипед, толпа, осиное гнездо, ездить на велосипеде"
"88";"bird";"|bɜːrd|";"|bɜːd|";"./sound/us/bird.mp3";"./sound/uk/bird.mp3";"птица, пташка, парень, человек, бабенка, тюрьма"
"89";"birth";"|bɜːrθ|";"|bɜːθ|";"./sound/us/birth.mp3";"./sound/uk/birth.mp3";"рождение, роды, начало, происхождение, нарождение, источник"
"90";"birthday";"|ˈbɜːrθdeɪ|";"|ˈbɜːθdeɪ|";"./sound/us/birthday.mp3";"./sound/uk/birthday.mp3";"день рождения"
"91";"black";"|blæk|";"|blæk|";"./sound/us/black.mp3";"./sound/uk/black.mp3";"черный, чернокожий, темный, чернь, черный, черный цвет, чернить, ваксить"
"92";"blog";"|blɑːɡ|";"|ˈblɒɡ|";"./sound/us/blog.mp3";"./sound/uk/blog.mp3";"блог, веблог, сетевой дневник"
"93";"blue";"|bluː|";"|bluː|";"./sound/us/blue.mp3";"./sound/uk/blue.mp3";"синий, голубой, лазурный, синить, воронить, синий цвет, голубой цвет"
"94";"board";"|bɔːrd|";"|bɔːd|";"./sound/us/board.mp3";"./sound/uk/board.mp3";"совет, борт, доска, правление, питание, садиться, столоваться, лавировать"
"95";"boat";"|bəʊt|";"|bəʊt|";"./sound/us/boat.mp3";"./sound/uk/boat.mp3";"лодка, судно, шлюпка, корабль, кататься на лодке, перевозить в лодке"
"96";"body";"|ˈbɑːdɪ|";"|ˈbɒdɪ|";"./sound/us/body.mp3";"./sound/uk/body.mp3";"тело, корпус, кузов, труп, организация, воплощать, придавать форму"
"97";"bold";"|bəʊld|";"|bəʊld|";"./sound/us/bold.mp3";"./sound/uk/bold.mp3";"смелый, дерзкий, храбрый, наглый, рельефный, самоуверенный, крутой, отчетливый"
"98";"book";"|bʊk|";"|bʊk|";"./sound/us/book.mp3";"./sound/uk/book.mp3";"книга, книжка, журнал, том, заказывать, книжный"
"99";"boot";"|buːt|";"|buːt|";"./sound/us/boot.mp3";"./sound/uk/boot.mp3";"ботинок, сапог, багажник, бутсы, фартук, увольнять, помогать, надевать ботинки"
"100";"border";"|ˈbɔːrdər|";"|ˈbɔːdə|";"./sound/us/border.mp3";"./sound/uk/border.mp3";"граница, бордюр, край, кайма, ободок, фриз, граничить, окаймлять, обшивать, походить"
"101";"bored";"|bɔːrd|";"|bɔːd|";"./sound/us/bored.mp3";"./sound/uk/bored.mp3";"скучающий"
"102";"bottle";"|ˈbɑːtl|";"|ˈbɒt(ə)l|";"./sound/us/bottle.mp3";"./sound/uk/bottle.mp3";"бутылка, флакон, бутыль, бутылочный, разливать по бутылкам"
"103";"bow";"|baʊ|";"|baʊ|";"./sound/us/bow.mp3";"./sound/uk/bow.mp3";"лук, поклон, бант, смычок, бантик, дуга, радуга, кланяться, преклоняться, сгибать"
"104";"box";"|bɑːks|";"|bɒks|";"./sound/us/box.mp3";"./sound/uk/box.mp3";"коробка, ящик, бокс, ящичек, сундук, козлы, боксировать, запирать, подсачивать"
"105";"boy";"|bɔɪ|";"|ˌbɔɪ|";"./sound/us/boy.mp3";"./sound/uk/boy.mp3";"мальчик, парень, сын, бой, молодой человек, юнга, хлопец"
"106";"boyfriend";"|ˈbɔɪfrend|";"|ˈbɔɪfrend|";"./sound/us/boyfriend.mp3";"./sound/uk/boyfriend.mp3";"дружок, возлюбленный"
"107";"break";"|breɪk|";"|breɪk|";"./sound/us/break.mp3";"./sound/uk/break.mp3";"перерыв, разрыв, прорыв, пауза, пролом, обрыв, нарушать, ломаться, ломать, вырваться"
"108";"breakfast";"|ˈbrekfəst|";"|ˈbrekfəst|";"./sound/us/breakfast.mp3";"./sound/uk/breakfast.mp3";"завтрак, утренний завтрак, завтракать"
"109";"brother";"|ˈbrʌðər|";"|ˈbrʌðə|";"./sound/us/brother.mp3";"./sound/uk/brother.mp3";"брат, собрат, коллега, земляк"
"110";"brown";"|braʊn|";"|braʊn|";"./sound/us/brown.mp3";"./sound/uk/brown.mp3";"коричневый, карий, бурый, коричневый цвет, подрумянивать"
"111";"brownie";"|ˈbraʊnɪ|";"|ˈbraʊnɪ|";"./sound/us/brownie.mp3";"./sound/uk/brownie.mp3";"домовой, пирожное, девочка-скаут"
"112";"brush";"|brʌʃ|";"|brʌʃ|";"./sound/us/brush.mp3";"./sound/uk/brush.mp3";"кисть, щетка, хвост, столкновение, стычка, чистить щеткой, причесывать, вычистить"
"113";"builder";"|ˈbɪldər|";"|ˈbɪldə|";"./sound/us/builder.mp3";"./sound/uk/builder.mp3";"строитель, подрядчик, плотник, каменщик"
"114";"building";"|ˈbɪldɪŋ|";"|ˈbɪldɪŋ|";"./sound/us/building.mp3";"./sound/uk/building.mp3";"здание, строительство, строение, строительный, строящий"
"115";"bull";"|bʊl|";"|bʊl|";"./sound/us/bull.mp3";"./sound/uk/bull.mp3";"бык, самец, бугай, буйвол, бычий"
"116";"burger";"|ˈbɜːrɡər|";"|ˈbɜːɡə|";"./sound/us/burger.mp3";"./sound/uk/burger.mp3";"бургер, бутерброд, булочка, разрезанная вдоль"
"117";"bus";"|bʌs|";"|bʌs|";"./sound/us/bus.mp3";"./sound/uk/bus.mp3";"автобус, шина, шины, омнибус, автобусный, ошиновывать"
"118";"business";"|ˈbɪznəs|";"|ˈbɪznəs|";"./sound/us/business.mp3";"./sound/uk/business.mp3";"бизнес, дело, фирма, занятие, деловой, практический"
"119";"businessman";"|ˈbɪznəsmæn|";"|ˈbɪznɪsmən|";"./sound/us/businessman.mp3";"./sound/uk/businessman.mp3";"бизнесмен, деловой человек, коммерсант, делец"
"120";"busy";"|ˈbɪzɪ|";"|ˈbɪzɪ|";"./sound/us/busy.mp3";"./sound/uk/busy.mp3";"занятой, занятый, оживленный, деятельный, заниматься, занимать, занимать работой"
"121";"but";"|bʌt|";"|bət|";"./sound/us/but.mp3";"./sound/uk/but.mp3";"но, а, однако, зато, кроме, только, кроме, возражение, кто бы не"
"122";"buy";"|baɪ|";"|baɪ|";"./sound/us/buy.mp3";"./sound/uk/buy.mp3";"купить, покупать, приобретать, накупить, покупка"
"123";"buying";"|ˈbaɪɪŋ|";"|ˈbaɪɪŋ|";"./sound/us/buying.mp3";"./sound/uk/buying.mp3";"купля"
"124";"by";"|baɪ|";"|baɪ|";"./sound/us/by.mp3";"./sound/uk/by.mp3";"по, на, к, при, у, мимо, согласно, около, рядом с, мимо, согласно, рядом, около, близко"
"125";"bye";"|baɪ|";"|baɪ|";"./sound/us/bye.mp3";"./sound/uk/bye.mp3";"прощание, что-либо второстепенное, прощальный привет"
"126";"calcium";"|ˈkælsɪəm|";"|ˈkælsɪəm|";"./sound/us/calcium.mp3";"./sound/uk/calcium.mp3";"кальций"
"127";"calculate";"|ˈkælkjʊleɪt|";"|ˈkælkjʊleɪt|";"./sound/us/calculate.mp3";"./sound/uk/calculate.mp3";"вычислять, рассчитывать, подсчитывать, высчитывать, калькулировать"
"128";"call";"|kɔːl|";"|kɔːl|";"./sound/us/call.mp3";"./sound/uk/call.mp3";"называть, назвать, вызывать, вызов, призыв, требование, позывной"
"129";"called";"|ˈkɒld|";"|kɔːld|";"./sound/us/called.mp3";"./sound/uk/called.mp3";"называемый, именуемый"
"130";"calm";"|kɑːm|";"|kɑːm|";"./sound/us/calm.mp3";"./sound/uk/calm.mp3";"спокойный, тихий, спокойствие, штиль, затишье, успокаивать, умиротворять"
"131";"camera";"|ˈkæmərə|";"|ˈkæm(ə)rə|";"./sound/us/camera.mp3";"./sound/uk/camera.mp3";"камера, фотокамера, фотоаппарат, кинокамера, киноаппарат"
"132";"can";"|kæn|";"|kən|";"./sound/us/can.mp3";"./sound/uk/can.mp3";"может, жестяная банка, баллончик, мочь, иметь возможность"
"133";"capital";"|ˈkæpɪtl|";"|ˈkæpɪt(ə)l|";"./sound/us/capital.mp3";"./sound/uk/capital.mp3";"капитал, столица, заглавная буква, капитальный, основной, главный, заглавный"
"134";"car";"|kɑːr|";"|kɑː|";"./sound/us/car.mp3";"./sound/uk/car.mp3";"автомобиль, машина, вагон, легковой автомобиль, автомашина, тачка, тележка"
"135";"cardiac";"|ˈkɑːrdɪæk|";"|ˈkɑːdɪæk|";"./sound/us/cardiac.mp3";"./sound/uk/cardiac.mp3";"сердечный, кардиальный"
"136";"care";"|ker|";"|keə|";"./sound/us/care.mp3";"./sound/uk/care.mp3";"уход, забота, заботы, внимание, заботиться, ухаживать, беспокоиться"
"137";"careful";"|ˈkerfl|";"|ˈkeəfʊl|";"./sound/us/careful.mp3";"./sound/uk/careful.mp3";"осторожный, внимательный, заботливый, аккуратный, бережный, точный, старательный"
"138";"cat";"|kæt|";"|kæt|";"./sound/us/cat.mp3";"./sound/uk/cat.mp3";"кошка, кот, кат, гусеничный трактор, блевать, бить плетью"
"139";"category";"|ˈkætəɡɔːrɪ|";"|ˈkætəɡ(ə)rɪ|";"./sound/us/category.mp3";"./sound/uk/category.mp3";"категория, разряд, класс"
"140";"center";"|ˈsentər|";"|ˈsentər|";"./sound/us/center.mp3";"./sound/uk/center.mp3";"центр, середина, средоточие, ось, стержень, центрировать, концентрировать"
"141";"ceremony";"|ˈserəməʊnɪ|";"|ˈserɪmənɪ|";"./sound/us/ceremony.mp3";"./sound/uk/ceremony.mp3";"церемония, церемонность, обряд, формальность"
"142";"change";"|tʃeɪndʒ|";"|tʃeɪn(d)ʒ|";"./sound/us/change.mp3";"./sound/uk/change.mp3";"изменение, смена, замена, изменяться, изменять, разменный"
"143";"char";"|tʃɑːr|";"|tʃɑː|";"./sound/us/char.mp3";"./sound/uk/char.mp3";"голец, случайная работа, обугливать, обугливаться, случайный"
"144";"charger";"|ˈtʃɑːrdʒər|";"|ˈtʃɑːdʒə|";"./sound/us/charger.mp3";"./sound/uk/charger.mp3";"заряжающий, заряжающий, строевая лошадь"
"145";"chart";"|tʃɑːrt|";"|tʃɑːt|";"./sound/us/chart.mp3";"./sound/uk/chart.mp3";"диаграмма, график, схема, карта, таблица, составлять карту, наносить на карту"
"146";"cheap";"|tʃiːp|";"|tʃiːp|";"./sound/us/cheap.mp3";"./sound/uk/cheap.mp3";"дешевый, низкий, плохой, дешево, дешевка"
"147";"check";"|tʃek|";"|tʃek|";"./sound/us/check.mp3";"./sound/uk/check.mp3";"проверка, чек, контроль, проверять, контролировать, контрольный, клетчатый"
"148";"cheer";"|tʃɪr|";"|tʃɪə|";"./sound/us/cheer.mp3";"./sound/uk/cheer.mp3";"радость, настроение, аплодисменты, ободрять, аплодировать, воодушевлять"
"149";"cheese";"|tʃiːz|";"|tʃiːz|";"./sound/us/cheese.mp3";"./sound/uk/cheese.mp3";"сыр, творог, шишка, болван, важная персона, срыгивать молоко, переставать, бросать"
"150";"chess";"|tʃes|";"|tʃes|";"./sound/us/chess.mp3";"./sound/uk/chess.mp3";"шахматы, оконная рама, шахматный"
"151";"child";"|tʃaɪld|";"|tʃaɪld|";"./sound/us/child.mp3";"./sound/uk/child.mp3";"ребенок, дитя, потомок, сын, малыш, младенец, детище, дочь, чадо, порождение, отпрыск"
"152";"children";"|ˈtʃɪldrən|";"|ˈtʃɪldrən|";"./sound/us/children.mp3";"./sound/uk/children.mp3";"дети, ребята"
"153";"chips";"|ˈtʃɪps|";"|tʃɪps|";"./sound/us/chips.mp3";"./sound/uk/chips.mp3";"чипсы, кусочки, деньги, ломтики, бабки"
"154";"chocolate";"|ˈtʃɑːklət|";"|ˈtʃɒk(ə)lət|";"./sound/us/chocolate.mp3";"./sound/uk/chocolate.mp3";"шоколад, шоколадный, шоколадного цвета"
"155";"choir";"|ˈkwaɪər|";"|ˈkwaɪə|";"./sound/us/choir.mp3";"./sound/uk/choir.mp3";"хор, хоры, клирос, церковный хор, петь хором"
"156";"choose";"|tʃuːz|";"|tʃuːz|";"./sound/us/choose.mp3";"./sound/uk/choose.mp3";"выбирать, хотеть, избирать, решать, решаться, отбирать, предпочитать, приглядывать"
"157";"cinema";"|ˈsɪnəmə|";"|ˈsɪnɪmə|";"./sound/us/cinema.mp3";"./sound/uk/cinema.mp3";"кино, кинотеатр, кинематография, кинематограф, кинофильм"
"158";"circle";"|ˈsɜːrkl|";"|ˈsɜːk(ə)l|";"./sound/us/circle.mp3";"./sound/uk/circle.mp3";"круг, окружность, кружок, кольцо, цикл, кружиться, вращаться, окружать"
"159";"city";"|ˈsɪtɪ|";"|ˈsɪtɪ|";"./sound/us/city.mp3";"./sound/uk/city.mp3";"город, большой город, старинный город, городской, муниципальный, общегородской"
"160";"class";"|klæs|";"|klɑːs|";"./sound/us/class.mp3";"./sound/uk/class.mp3";"класс, тип, урок, занятие, классовый, классный, классифицировать"
